,,Client,TINDEL,,ALUMINUM,,,Date:,18-Feb-16,,,,,,,,,,
,,Project:,585 West End Ave,,Model # 5000HC,,,,,,,,,,,,,,
,,Proj. ID #:,2313,Rev.# 1: Qty Corrected,,,,,19-Apr-16,,,,,,,,,,
,,Prod #,"13207, 08 & 22",,,Model # 5000HC:,1343,,,,,,,,,,,,
,,# OF Units,1957,,,Screen:,614,,,,,,,,,,,,
,,Finish:,Duracron Rootbeer Candy,UC# 124880,,,,,,$ For Azobrade,18396.99,,,,,,,,
Price ,TOTAL ,QTY,Description,"Astro 
Die No.",Keymark Die No.,Finish,"Weight
x Feet","Order
Length",Total Lbs,Total LFT>>>,204411.00,,,,,,,,
,,,Model # 5000HC,,,,,, -   ,,,,,,,,,,
 $1.523 ,"$5,629.44 ",264,5000 - HEAD         ,8741,S-50270,Duracron Rootbeer Candy,0.737,168," 2,723.95 ",14,3696.00,,,3696,8774,,,,
 $1.941 ,"$7,173.78 ",264,5000 SILL - EQUAL LEG,20790,S-50271,Duracron Rootbeer Candy,0.977,168," 3,610.99 ",14,3696.00,,,3696,8739,,,,
 $1.765 ,"$26,561.47 ",1254,5000 - JAMB         ,8742,S-41387,Duracron Rootbeer Candy,0.876,144," 13,182.05 ",12,15048.00,,,15048,,,,,
   , ,,,,, , ,, -   ,,,,,,,,,,
 $1.628 ,"$6,018.58 ",264,5000 - TOP RAIL,10072,H-09513,Duracron Rootbeer Candy,0.724,168," 2,675.90 ",14,3696.00,,,3696,,,,,
 $2.414 ,"$8,922.35 ",264,COOP-CITY KPR RAIL  ,15629,H-09531,Duracron Rootbeer Candy,1.117,168," 4,128.43 ",14,3696.00,,,3696,,,,,
 $1.890 ,"$6,984.68 ",264,5000 LOCK - INT TILT,10123,H-09512,Duracron Rootbeer Candy,0.895,168," 3,307.92 ",14,3696.00,,,,,,,,
 $1.538 ,"$5,685.83 ",264,5000 - BOTTOM RAIL  ,8750,H-09511,Duracron Rootbeer Candy,0.713,168," 2,635.25 ",14,3696.00,,,3696,,,,,
   , ,,,,,,,, -   ,,,,,,,,,,
 $1.023 ,"$7,761.84 ",632,COOP-CITY TOP STILE ,15630,S-41386,Duracron Rootbeer Candy,0.450,144," 3,412.80 ",12,7584.00,,,7584,,,,,
 $1.220 ,"$9,253.87 ",632,COOP-CITY BTM STILE ,15631,S-41384,Duracron Rootbeer Candy,0.563,144," 4,269.79 ",12,7584.00,,,7584,,,,,
 $0.477 ,"$3,526.24 ",528,5000 - SNAP LATCH   ,8752,S-42639,Duracron Rootbeer Candy,0.274,168," 2,025.41 ",14,7392.00,,26,,,,,,
   , ,,,,,,,, -   ,,,,,,,,,,
 $0.235 ,$838.16 ,223,SCREEN              ,3013,H-07805,Duracron Rootbeer Candy,0.129,192, 460.27 ,16,3568.00,,,,,,,,
 $0.328 ,$534.94 ,102,SCREEN HANDLE       ,3548,H-02924,Duracron Rootbeer Candy,0.180,192, 293.76 ,16,1632.00,,,,,,,,
 $0.264 ,$511.19 ,121,SCREEN W/.250 STOP  ,3014,H-11088,Duracron Rootbeer Candy,0.145,192, 280.72 ,16,1936.00,,,,,,,,
   , ,,,,, , ,, -   ,,,,,,,,,,
 $0.288 ,"$9,345.08 ",2240,MUNTIN FRAME,11646,,Duracron Rootbeer Candy,0.158,174," 5,131.84 ",14.5,32480.00,,,32480,8775,,,,
 $0.552 ,"$11,536.15 ",1673,MUNTIN,18510,,Duracron Rootbeer Candy,0.179,150," 3,743.34 ",12.5,20912.50,,,,,,,,
 $0.430 ,"$8,987.54 ",1673,"1/16"" x 3/4"" Bar",14266,,Duracron Rootbeer Candy,0.109,150," 2,279.46 ",12.5,20912.50,,,,,,,,
#N/A, ,,Accessories,,,,,, -   ,,,,,,,,,,
 $0.326 ,"$1,870.06 ",359,"1"" x 2"" TRIM",7559,S-44718,Duracron Rootbeer Candy,0.187,192," 1,074.13 ",16,5744.00,,,,,,,,
 $0.331 ,$580.54 ,117,"1"" x 2"" CLIP",7560,S-44717,Mill Finish,0.190,180, 333.45 ,15,1755.00,,,,,,,,
 $0.467 ,"$9,244.04 ",1524,"2"" X 1 1/2"" TRIM CAP",2161,,Duracron Rootbeer Candy,0.268,156," 5,309.62 ",13,19812.00,,,,,,,,
 $0.475 ,"$2,894.53 ",406,"2"" X 1 1/2"" CLIP",2162,,Mill Finish,0.273,180," 1,662.57 ",15,6090.00,,,,,,,,
 $1.260 ,"$28,439.04 ",1556,"3 1/8"" x 2 1/2"" COLONIAL PANNING",TBD,,Duracron Rootbeer Candy,0.724,174," 16,334.89 ",14.5,22562.00,,,,,,,,
 $0.937 ,"$4,427.58 ",326,3X2.75 COL. PAN SILL,9240,,Duracron Rootbeer Candy,0.538,174," 2,543.13 ",14.5,4727.00,,,,,,,,
 $1.415 ,"$3,532.28 ",192,"6"" MULL CAP WITH RAISED ENDS",18561,,Duracron Rootbeer Candy,0.675,156," 1,684.80 ",13,2496.00,,,,,,,,
 $1.008 ,"$2,516.07 ",192,"6"" MULL BASE",14028,,Mill Finish,0.579,156," 1,445.18 ",13,2496.00,,,,,,,,
,,AMOUNT,"$1,72,775.27 ",,,,,,,,,,,,,,,,
,,,,,,,TOTAL  LB,,"84,550",,,,,,,,,,
,,,,,,,LB/WINDOW,,,,,,,,,,,,
,,,,,,,$/WINDOW,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
